Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
781,,"Sep 05, 2025","Sep 08, 2025",Complete,118 Ave Closure,118 Avenue NW,90 Street NW,95 Street NW,Total Closure,Fr at 9am - Mon at 6am,"Total closure of 118 Av, 95 St - 93 St to accommodate the Kaleido Family Arts Festival. 92 St, 118 Av - 119 Av and 93 St, 119 Av to Lane S/O 119 Av will also be closed. Detour using other route",Special Event - Kaleido Family Arts Festival,Special Event,Central,Road,POINT (-113.4872854607074 53.57038959361365)
550,,"Jul 21, 2025","Aug 29, 2025",Complete,Northbound Right Turning Lane Closure,159 Street NW,Whitemud Drive NW,78 Avenue NW,Travel Delays,2 Months,Starts July 21 @ 9am. The northbound 159st right turn bay to Whitmeud Eastbound turnbay will be closed due to bridge construction. Right turns permitted at the intersection. Expect travel delays.,Bridge Repair,Construction,Southwest,Road,POINT (-113.5966398521809 53.51188926851636)
797,,"Aug 28, 2025","Sep 25, 2025",Current,92 St total closure,92 Street NW,105A Avenue NW,107A Avenue NW,Total Closure,1 month,92 St will be total closed. Use 95 St or 82 St as detour.,Road reconstruction,Construction,Central,Road and Sidewalk,POINT (-113.47925802356895 53.55473524169338)
697,,"Aug 20, 2025","Aug 21, 2025",Complete,98A St; 93 Ave-93A Ave Total Closure,98A Street NW,93 Avenue NW,93A Avenue NW,Total Closure,1 night,98A St will be totally closed to vehicle traffic from 93 Ave to 93A Ave. Please use other routes.,Paving,Construction,Central,Road,POINT (-113.48427537271057 53.52825922664779)
198,,"May 16, 2025","May 20, 2025",Complete,Intersection Total Closure,111 Avenue NW,105 Street NW,106 Street NW,Total Closure,5 Days,"Total closure of 111 Avenue; 105 Street to 106 Street, for LRT Crossing Replacement work. Starts May 16th at 18:30. Sidewalk and crosswalks will be affected, pedestrain detour will be in place. Please use other routes.",LRT Crossing Replacement,Construction,Central,Road and Sidewalk,POINT (-113.50105662474297 53.558908021307765)
172,,"May 27, 2025","May 27, 2025",Complete,"104 Ave (Travel Delays/Closures), 101 St - 105 St",104 Avenue NW,101 Street NW,105 Street NW,Travel Delays,1 Night (4pm - Midnight),"(4pm - 9pm) Travel delays on 104 Ave, 101 St - 105 St due to lane reductions, (9pm - Midnight) closure of 104 Ave, 101 St - 105 St with ETS access maintianed. Please use other routes.",Special Event,Special Event,Central,Road,POINT (-113.5010725747498 53.54621788419007)
873,,"Sep 15, 2025","Sep 25, 2025",Current,Whitemud Dr EB reduced to a single lane,Whitemud Drive NW,Fox Drive NW,Terwillegar Drive NW,Major Delays,10 Nights,Nightly from 9pm - 6am. Whitemud Dr EB will be reduced to a single lane from Fox Dr to Terwillegar Dr. Expect major delays.,Milling and Paving,Construction,Southwest,Road,POINT (-113.56559641293937 53.502879927141066)
613,,"Aug 08, 2025","Aug 30, 2025",Complete,88 Ave; 95 St-96 St Total Closure,88 Avenue NW,95 Street NW,96 Street NW,Total Closure,23 Days (24/7),88 Ave to be totally closed from 95 St to 60m West of 95 St.,WATER LINE INSTALL,Construction,Central,Road,POINT (-113.47308980473078 53.52349618537491)
226,,"May 27, 2025","Jun 23, 2025",Complete,149 St Eastbound Ramp Closed,149 Street NW,Whitemud Drive NW,,Total Closure,18 Nights,"May 27th - 30th, June 6th - 16th & June 18th - 23rd Nightly from 10pm - 6am. 149 St to Whitemud Dr Ramp Eastbound will be closed due to bridge Maintenance. Follow detour route.",Bridge Maintenance,Construction,,Road,POINT (-113.57844844539895 53.550321950782795)
138,,"Apr 28, 2025","Nov 14, 2025",Current,Full time speed reduction,Maskêkosihk Trail NW,Winterburn Road NW,Uplands Boulevard NW,Travel Delays,6 Months,Starts April 28th. Maskêkosihk Trail from Winterburn Rd to Uplands Blvd will have a full time speed reduction and periodic single lane clousres. Expect travel delays.,Road Construction,Construction,Southwest,Road,POINT (-113.65869410456763 53.45526893094848)
