Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
35,,"Oct 27, 2023","Oct 31, 2026",Current,Truck Ban NB 178st Bridge over Whitemud Dr,178 Street NW,Whitemud Drive NW,,Directional Closure,Long Term Impact,Trucks will be banned on NB 178st Bridge over Whitemud Dr. Trucks will need to use the NB 170st Bridge.,Bridge Pier Repair,Construction,Southwest,Road,POINT (-113.62928766262445 53.52728592430678)
100,,"Apr 14, 2025","Apr 17, 2025",Complete,Lane Closure,Roper Road NW,84 Street NW,86 Street NW,Increased Travel Time,4 Days,Roper Road West bound meridian lane will be closed between 84 Street and 86 Street.,Landscaping,Construction,Central,Road,POINT (-113.44720754454099 53.49059798542371)
322,,,,,,,,,0,,,,,,,POINT (-113.51172761870947 53.52453816659729)
500,,"Aug 05, 2025","Nov 22, 2025",REVISED,EB 51 Ave west of 99 St (Lane Closures),51 Avenue NW,Gateway Boulevard,99 Street NW,Travel Delays,4 Months (24/7),EB 51 Ave to be reduced to a single lane from 10025 51 Ave to 50m West of 99 St.,DRAINAGE REPAIR REPLACE,Construction,Central,Road,POINT (-113.48610514386954 53.48814735941876)
450,,"Jul 01, 2025","Jul 02, 2025",Complete,University & 114 St SW Sidewalk Closure,University Avenue NW,114 Street NW,,Travel Delays,2 Days,At the intersection of 114 St and University Ave the sidewalk on the SW corner will remian closed to pedestrians. No pedestrian access over the LRT tracks and a pedestrian detour in place. Use other routes.,LRT Track Replacement,Construction,Central,Sidewalk,POINT (-113.52612008526982 53.51655669775728)
638,,"Aug 13, 2025","Aug 20, 2025",Current,163 St Reduced to 1 Lane Each Way,163 Street NW,106 Avenue NW,105 Avenue NW,Travel Delays,1 Week,163 St will be reduced to one lane each way from 106 Av to 105 Av. Use other routes.,Sewer Repair Replace,Construction,Northwest,Road,POINT (-113.60266474259265 53.549821661161644)
46,,"Apr 17, 2025","Apr 21, 2025",Complete,Turning lane closures,Ellerslie Road SW,141 Street SW,,Travel Delays,4 Days,April 17th at 7pm to April 21st at 6am. 141st Northbound to Ellerslie Rd Eastbound right turning lane closed. Ellerslie Rd Westbound to 141st Southbound left turning lane closed. All turning movements at intersection still maintianed. Expect delays.,Gas Line Install,Construction,Southwest,Road and Sidewalk,POINT (-113.56401383717034 53.42491443015256)
793,,"Aug 27, 2025","Oct 24, 2025",Current,EB 81 Ave; 104 St-Gateway Blvd Direction Closure,81 Avenue NW,104 Street NW,Gateway Boulevard,Directional Closure,2 Months (24/7),81 Avenue Eastbound will be closed between 104 Street and Gateway Boulevard.,Construction,Construction,Central,Road,POINT (-113.49754172850454 53.517079432144264)
571,,"Aug 09, 2025","Aug 09, 2025",Current,108 St Closure,108 Street NW,99 Avenue NW,Jasper Avenue NW,Total Closure,Sat. Aug 9 (11am-2pm),"108 St, 99 Av - Jasper Av will be totally closed as part of the Cariwest Parade route. No parking permitted. Vehicles will be tagged and towed.",Cariwest Parade,Special Event,Central,Road,POINT (-113.50659617479108 53.54093118360785)
441,,"Jun 27, 2025","Jun 27, 2025",Complete,Traffic Incident,YELLOWHEAD TRAIL NW,121 STREET NW,,Traffic Incident Delays,Unknown,Yellowhead Trail westbound - west of 121 St.,Traffic Incident,Traffic Incident,Southeast,Road,POINT (-113.52560756652626 53.580709986440034)
784,,"Sep 21, 2025","Sep 23, 2025",Current,Rossdale RD Lane Closures,Rossdale Road NW,96 Avenue NW,97 Avenue NW,Increased Travel Time,3 Nights,Road segment reduced to two lanes between 19:00-06:30hrs nightly.,Drainage Inspection,Construction,Central,Road,POINT (-113.49741821673959 53.53247505577111)
238,,"Jun 12, 2025","Jun 12, 2025",Complete,#1 Single lane closure Northbound,Whitemud Drive NW,Fox Drive NW,149 Street NW,Travel Delays,1 Day,June 12th from 9am - 3pm Only. #1 Northbound lane closure on Whitemud Drive from Fox Dr - 149 St. Speed reduced accordingly. Expect travel delays.,Pump Station Inspection,Construction,Southwest,Road,POINT (-113.57854280027952 53.51363442866546)
91,,"Apr 15, 2025","Apr 15, 2025",Complete,Gateway Lane Closure,Gateway Boulevard NW,76 Avenue NW,80 Avenue NW,Increased Travel Time,One Day,Road segment reduced to two lanes between 09:30-15:30hrs.,Drainage Inspection,Construction,Central,Road,POINT (-113.49461493329468 53.5123424561986)
715,,"Aug 23, 2025","Aug 23, 2025",Complete,110 St Total Closure,110 Street NW,76 Avenue NW,77 Avenue NW,Total Closure,1 Day(7am - 4pm),110 St from 76 Ave - 77 Ave will be closed to vehicles. Bike lane will be remain open during work. Use other routes.,Concrete Repair,Construction,Central,Road,POINT (-113.51502129689503 53.51225394833979)
539,,"Jul 22, 2025","Jul 26, 2025",Complete,Lane Closure,51 Avenue NW,99 Street NW,Gateway Boulevard NW,Travel Delays,4 Days,Westbound 51 Avenue will be reduced one lane between 99 Street and Gateway Boulveard.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.48610514386954 53.48814735941876)
67,,"Apr 08, 2025","Apr 09, 2025",Complete,Sask. DR Westbound Closure,Saskatchewan Drive NW,99 Street NW,Queen Elizabeth Park Road NW,Directional Closure,One Night,"Sask DR westbound, 99 ST - QEPR closed to vehicle traffic. Detour using other routes.",Drainage Inspection/Repairs,Construction,Central,Road,POINT (-113.48606575587903 53.52722761659918)
327,,"Jun 13, 2025","Jun 16, 2025",Complete,106 Street Total Closure,106 Street NW,70 Avenue NW,69 Avenue NW,Total Closure,3 Days,Starting Friday June 13 @ 11pm 106 Street from 70 Ave - 69 Ave will be closed. Bike facility is detoured to 107 Ave. Use other routes.,Waterline Installation,Construction,Central,Road and Sidewalk,POINT (-113.50441638957913 53.50645762584399)
854,,"Sep 08, 2025","Sep 28, 2025",Current,"Beginning Monday Sept 8 at 9 a.m., 105 Street is closed to vehicle traffic from 80 Avenue to 81 Avenue.",105 Street,80 Avenue,81 Avenue,Total Closure,21 Days,"Beginning Monday Sept 8 at 9 a.m., 105 Street is closed to vehicle traffic from 80 Avenue to 81 Avenue.",Sewer Installation,Construction,Central,Road,POINT (-113.50045660859884 53.516134719325095)
225,,"May 26, 2025","Jun 23, 2025",Complete,Fox Drive Westbound Ramp closed,Fox Drive NW,Whitemud Drive NW,,Total Closure,16 Nights,"May 26th - 29th, May 31st - June 3rd, June 8th, June 13th - 17th & June 18th - 23rd Nightly from 10pm - 6am. Fox Dr to Whitemud Dr Ramp Westbound will be closed due to bridge Maintenance. Follow detour route.",Bridge Maintenance,Construction,Southwest,Road,POINT (-113.55360303479756 53.503508040267796)
599,,"Aug 02, 2025","Aug 02, 2025",Complete,SB Low Level Bridge,Low Level Bridge,McDougall Hill NW,Connors Road NW,Total Closure,1 Day (07:00-15:00),Southbound Traffic across the Low Level Bridge will be closed. All Southbound traffic will detour via the James MacDoanld Bridge.,Paving,Construction,Central,Road,POINT (-113.48798598254763 53.5383417480588)
653,,"Aug 23, 2025","Aug 23, 2025",Complete,102A Ave/103 Ave Closed,102A Avenue NW,97 Street NW,99 Street NW,Total Closure,10:00-16:00,"Assembly area closure 10am - 4pm on 102A Ave, 97 St - 99 St. Parade route closure noon to 4pm: 102A Ave, 100 St - 101 St; 103 Ave, 101 St - 104 St; 104 Ave, 101 St - 104 St: 102 St, 104 Ave - 106 Ave.",Special Event (Pride Parade),Special Event,Central,Road,POINT (-113.48671552637317 53.54489845310861)
217,,"Jun 07, 2025","Oct 11, 2025",Current,104 Street Closure,104 Street NW,Jasper Avenue NW,103 Avenue NW,Total Closure,Saturdays (6am-4pm),104 Street from Jasper Avenue to south of 103 Avenue will be closed Saturdays 6am - 4pm. Detour using other route.,Downtown Farmer's Market,Special Event,Central,Road,POINT (-113.49924937072183 53.5409311968637)
440,,"Jul 07, 2025","Oct 31, 2025",Current,86 St; 51 Ave-63 Ave,86 Street NW,51 Avenue NW,63 Avenue NW,Travel Delays,4 Months (24/7),86 St to be reduced to a single lane SB from Argyll Rd (63 Ave) to 51 Ave and NB from 61 Ave to Argyll Rd (63 Ave).,Road Construction,Construction,Central,Road,POINT (-113.45823534159632 53.50035006530778)
790,,"Sep 03, 2025","Sep 05, 2025",Current,50 St Split to East,50 Street NW,121 Avenue NW,118 Avenue NW,Travel Delays,Three Days,50 St split to the East side from South of 118 Ave to South of 121 Ave.,50 St Split to East,Construction,Northeast,Road,POINT (-113.41838214144374 53.57507185771445)
164,,"May 01, 2025","May 02, 2025",Complete,Three Lane Closure,Gateway Boulevard NW,58 Avenue NW,63 Avenue NW,Major Delays,22:00 - 6:00 am,Gateway Boulevard will be reduced one lane between 58 Avenue and 63 Avenue.,Construction,Construction,Central,Road,POINT (-113.49372982439571 53.499843705435225)
639,,"Aug 18, 2025","Sep 12, 2025",Current,101 Street lane closures,101 Street NW,108 Avenue NW,111 Avenue NW,Travel Delays,4 weeks,"111 St from 108 Ave - 111 Ave will have single lane closures during 22:00 hrs - 06:00 hrs. No left turns on 108 Ave, Kingway, and 110 Ave for both directions. No Left Turn on 110A Ave from 101 St southbound.",Drainage Trunk Maintenance,Construction,Central,Road,POINT (-113.49371720243546 53.553077192240956)
355,,"Jun 21, 2025","Jun 21, 2025",Complete,YTH Service Rd E of 156 St to YHT WB Closed,Yellowhead Trail,149 Street NW,156 Street NW,Total Closure,1 Day,The ramp to WB Yellowhead Tr from the Yellowhead Tr service road will be closed from East of 156 St to Yellowhead Tr. Use other routes.,Paving,Construction,Northwest,Road,POINT (-113.57802207624547 53.581521653628485)
829,,"Sep 07, 2025","Oct 26, 2025",Current,132 Ave/Delwood Road Intersection Closure,132 Avenue NW,Delwood Road,,Total Closure,7 Weeks,132 Ave will be closed ~100m West of Delwood Road. Delwood Road will be closed South of 132A Ave. Local access maintained East of 82 St to the service roads. Alternating sidewalk closures as required.,132 Ave Rehab,Construction,Northeast,Road and Sidewalk,POINT (-113.46379145555943 53.5922622582601)
705,,"Aug 22, 2025","Sep 13, 2025",REVISED,WB 51 Ave west of 99 St Single Lane Closure,51 Avenue NW,99 Street NW,,Travel Delays,3 Weeks (24/7),WB 51 Ave to be reduced to a single lane from 99 St to 100m west of 99 St.,DRAINAGE REPAIR REPLACE,Construction,Central,Road,POINT (-113.51064555434515 53.48819104193739)
319,,"Jun 14, 2025","Jun 14, 2025",Complete,53 Avenue; 87 Street ot 89 Street - Closure,53 Avenue NW,87 Street NW,89 Street NW,Total Closure,1 Day,One day closure event on Saturday June 14th from 07:00 to 18:00. Parking Ban in effect. Rivercity Motors Annual Charity Show and Shine.,Special Event,Special Event,Central,Road,POINT (-113.45706079263049 53.489850928908844)
153,,"May 07, 2025","May 09, 2025",Complete,95 St; 150 Ave-151 Ave (Total Closure),95 Street NW,150 Avenue NW,151 Avenue NW,Total Closure,3 Days (24/7),"95 St from 150 Ave to 151 Ave will be closed to vehicle traffic. Please use other
routes.",DRAINAGE REPAIR REPLACE,Construction,Northeast,Road,POINT (-113.48720884906419 53.61111453205001)
678,,"Aug 20, 2025","Sep 03, 2025",Current,Total closure in front of 9801 - 160 Street from 110 ave to 110a ave,160 Street,110 Avenue,110a Avenue,Total Closure,13 Days,Total closure in front of 9801 - 160 Street from 110 ave to 110a ave. Use 160a street to detour.,EMERGENCY DRAINAGE REPAIR,Construction,Northwest,Road and Sidewalk,POINT (-113.5958662484914 53.556041231005075)
1,,"Aug 14, 2024","Oct 31, 2025",Complete,"Closed:105 Av, 109 St - 108 St",105 Avenue NW,109 Street NW,108 Street NW,Total Closure,14 Months,"105 Ave closed, 109 St - 108 St (ped/bike access maintained on the north side), West 108 St bike facility and sidewalk closed closed from 105 Ave to the Grant MacEwan access south of 105 Ave (ped/bike access maintained on the east side).",Hoarding,Construction,Central,Road and Sidewalk,POINT (-113.50843944486833 53.548258027949885)
611,,"Aug 07, 2025","Sep 19, 2025",REVISED,57 Street from 19 A Ave to 23 Avenue Total Closure,57 Street NW,19 A Avenue NW,23 Avenue NW,Total Closure,47 Days,57 Street will be closed from 19 A Avenue to 23 Ave EB for 37 days duration. Please use other routes. Local pedestrian access maintained. Follow signage on site.,Road Reconstruction,Construction,,Road and Sidewalk,POINT (-113.42771432571433 53.45376385778172)
549,,"Jul 26, 2025","Jul 29, 2025",Complete,163 St Closed NB,163 Street NW,93 Avenue NW,95 Avenue NW,Directional Closure,4 Days,163 St will be closed  NB at 95 Av July 26 and 27 from 7am to 6pm and July 28 and 29 from 9am to 3pm. Use other routes.,Water Line Install,Construction,Northwest,Road,POINT (-113.6026246476124 53.531586316164294)
383,,"Jun 27, 2025","Jun 30, 2025",Cancelled,Road Closure,63 Avenue NW,Allendale Road NW,Gateway Boulevard NW,Total Closure,3 Days Starting at 9:00 pm,63 Avenue will be closed between Allendale Road and Gateway Boulevard. 104 Street (Calgary Trail) will be reduced to one lane.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.49768393799798 53.49985898476031)
466,,"Jul 11, 2025","Jul 13, 2025",Complete,Whyte Avenue Art Walk,83 Avenue NW,Gateway Boulevard NW,104 Street NW,Total Closure,3 Days (06:00 - 19:00),83 Avenue between Gateway Boulevard and 104 Street will be closed daily from 06:00 to 19:00 for the Whyte Avenue Art Walk.,Special Event,Special Event,Central,Road,POINT (-113.49506609898567 53.51905985022891)
58,,"Apr 02, 2025","Apr 03, 2025",Complete,"WB 167 Ave, 66 St-71 St",167 Avenue NW,66 Street NW,71 Street NW,Directional Closure,1 Night (10pm-6am),"WB 167 Ave from 66 St to 71 St will be closed to vehicle traffic. Please use other
routes",POWER INSTALL,Construction,Northeast,Road,POINT (-113.45126751498223 53.62864901153112)
858,,"Sep 10, 2025","Sep 24, 2025",Current,Northbound 109 Street Total Closure,109 Street NW,61 Avenue NW,62 Avenue NW,Directional Closure,2 Weeks,Northbound 109 Street from 61 Ave - 62 Ave will be closed to install a waterline. The east sidewalk and service road will also be closed during construction. Use other routes,Waterline Installation,Construction,Central,Road and Sidewalk,POINT (-113.51248150660177 53.49826664148932)
329,,"Jun 11, 2025","Jun 25, 2025",Complete,Drainage install,44A Avenue NW,115 Street NW,114 Street NW,Total Closure,15 Days,"Starting Wedensday June 11, 2025  44A Ave will be closed between 114 Street and 115 Street, drainage install. Please use other routes.",Drainage Install,Construction,Southwest,Road and Sidewalk,POINT (-113.52904750524358 53.48237345188851)
228,,"Jun 04, 2025","Jun 04, 2025",Complete,Rossdale Rd; 105 St to 97 Ave - Total Closure,Rossdale Road NW,105 Street NW,97 Avenue NW,Total Closure,1 Day (12:00 to 15:00),Rossdale Road from 105 Street to 97 Avenue will be closed on June 4th from 12:00 to 15:00 for the Riverhawks School Event. Please use other routes.,Special Event,Special Event,Central,Road,POINT (-113.50107707207518 53.53050480961526)
269,,"Jun 07, 2025","Jun 08, 2025",Complete,83 Ave; Gateway Blvd to 104 St - Closure,83 Avenue NW,Gateway Boulevard NW,104 Street,Total Closure,2 Days,83 Ave; Gateway Blvd to 104 St will be closed for a special event. Local Access maintained via 104 St. Bike and Pedestrain Detour will be inplace.,Special Event - Nov Project,Special Event,Central,Road and Sidewalk,POINT (-113.49506609898567 53.51905985022891)
727,,"Aug 22, 2025","Aug 22, 2025",Complete,test disruption,180A Avenue NW,93 Street NW,94 Street NW,Major Delays,1 day,test disruption,construction,Construction,Northeast,Road and Sidewalk,POINT (-113.48472460214265 53.64289847432143)
113,,"Apr 10, 2025","Apr 11, 2025",Complete,Single lane closures in both directions,Whitemud Drive NW,111 Street NW,122 Street NW,Travel Delays,1 Night,April 10th @ 10pm to April 11th @ 6am. Single lane clousure in both directions on Whitemud drive from 111st to 122st. Expect travel delays.,Light pole Repair,Construction,Southwest,Road,POINT (-113.51688553146936 53.482653515031586)
357,,"Jul 01, 2025","Jul 01, 2025",Complete,Canada Day Lendrum Criterium,113A Street NW,54 Avenue NW,57 Avenue NW,Total Closure,1 Day (7am - 6pm),"Total Closures as follows: 1) 113A St, 54 Av - 57 Av 2) 56 Av, 113A St - 113 St 3) 113 St 55 Av - 56 Av 4) 55 Av, 113 St - 113A St 5) 54 Av, 113A St - 114 St 6) 114 St, 54 Av - 57 Av 7) 57 Av, 114 St - 113A St. See attached map.",Special Event,Special Event,Southwest,Road,POINT (-113.5236881972308 53.49477532265429)
388,,"Jun 24, 2025","Jun 27, 2025",Complete,WMD Single lane closures,Whitemud Drive NW,Fox Drive NW,156 Street NW,Travel Delays,4 Days,Single lane clousres on Whitemud Dr from 156st to Fox Dr due to traffic signal maintenance. Lane clousres limited to off-peak hours. Expect travel delays.,TRAFFIC SIGNAL MAINTENANCE,Construction,Southwest,Road,POINT (-113.56559641293937 53.502879927141066)
405,,"Jun 27, 2025","Jun 27, 2025",Complete,Rowland RD Lane Closure,Rowland Road NW,87 Street NW,89 Street NW,Increased Travel Time,One Day,Road segment will be reduced to a single lane between 09:30-15:00hrs with east and westbound traffic maintained under flagsperson control.,Drainage Maintenance,Construction,Central,Road,POINT (-113.46916132813115 53.54828007916903)
540,,"Jul 23, 2025","Jul 24, 2025",Complete,Road Closure,86 Street NW,Wagner Road NW,Coronet Road NW,Total Closure,8:00 pm - 6:00 am,86 Street will be closed betweeen Wagner Road and Coronet Road on July 23  at 8:00 pm till July 24 at 6:00 am.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.45502303513041 53.49704425858309)
759,,"Aug 25, 2025","Oct 27, 2025",Current,Hermitage Road split to the South side at Victoria Trail,Hermitage Road,Victoria Trail,,Travel Delays,Three Months,Hermitage Road split to the South side at Victoria Trail,Utility Installation,Construction,Northeast,Road,POINT (-113.38238828611792 53.579445677239526)
77,,"Apr 07, 2025","Apr 08, 2025",Complete,121 St Closed S/O Jasper Ave,121 Street NW,Jasper Avenue,,Total Closure,1 Night: 8pm - 6am,"121 St closed from Jasper Ave to the first access south of Jasper Ave with local access maintained on 100 Ave via flag person control between the access and the alley west of 119 St, EB Jasper Ave reduced to one lane at 121 St, bike lane access maintained",Drainage Repair,Construction,Central,Road,POINT (-113.53082997196275 53.540943710347946)
479,,"Jul 08, 2025","Jul 09, 2025",Complete,45 Ave; 99 St-101 St Total Closure,45 Avenue NW,99 Street NW,101 Street NW,Total Closure,1 Night (21:00-06:00),45 Ave to be totally closed from 99 St to 101 St.,Sewer Maintenance,Construction,Central,Road,POINT (-113.48610619856149 53.483130024935626)
516,,"Aug 08, 2025","Aug 23, 2025",REVISED,163 St Reduced to 1 Lane Each Way,163 Street NW,96A Avenue NW,97 Avenue NW,Travel Delays,2 Weeks,163 St will be reduced to 1 lane in each direction from 96A Av to 97 Av. Use other routes.,Drainage Repairs,Construction,Northwest,Road,POINT (-113.60283837314323 53.53391969715559)
141,,"Apr 17, 2025","Apr 17, 2025",Complete,Traffic Incident,WHITEMUD DRIVE NW,53 AVENUE NW,,Traffic Incident Delays,Unknown,Traffic Incident Whitemud Drive westbound - before 53 Ave.,Traffic Incident,Traffic Incident,Southwest,Road,POINT (-113.57201214645684 53.490407577573094)
182,,"May 01, 2025","May 04, 2025",Complete,65 St total closure,65 Street NW,19 Avenue NW,,Total Closure,4 days,65 St from 19 Ave to the lane north will be total closed for Drainage work. Use 61 St from 19A Ave as detour,Drainage Work,Construction,Southeast,Road and Sidewalk,POINT (-113.43382261262441 53.449640578587186)
820,,"Sep 08, 2025","Nov 15, 2025",Current,115 St Closure,115 Street NW,Jasper Avenue NW,,Total Closure,10 Weeks,115 St will be closed in both direcitons at the south side of Jasper Av. Use other routes.,Road Construction,Construction,Central,Road and Sidewalk,POINT (-113.52494096763783 53.54248973865082)
745,,"Aug 25, 2025","Aug 29, 2025",Current,123 Street total closure,123 Street NW,102 Avenue NW,Jasper Avenue NW,Total Closure,5 days,"123 St from 102 Ave to 65 meters south (the area immediately in front of ""The Cobalt"" building, will be closed in both directions. Use 122 St or 124 St for detour",Scaffold Removal,Construction,Central,Road and Sidewalk,POINT (-113.53412815221492 53.54301657658639)
202,,"May 12, 2025","Oct 31, 2025",REVISED,Road Closure,88 Avenue NW,99 Street NW,100 Street NW,Total Closure,5 1/2 Months (24/7),88 Avenue will be closed between 99 Street and 100 Street,Construction,Construction,Central,Road,POINT (-113.48609792513302 53.52351841055034)
525,,"Jul 18, 2025","Sep 05, 2025",Current,Northbound 116 St Delays,116 Street NW,102 Avenue NW,,Travel Delays,50 Days,116 St will be reduced to a single lane on Northbound 116 St at 102 Av.,Utility Construction,Construction,Central,Road,POINT (-113.52755715870941 53.52467556860147)
823,,"Sep 11, 2025","Sep 22, 2025",Current,116 St Delays,116 Street NW,Jasper Avenue NW,,Travel Delays,12 Days,"Starting at~4am on Sep 11th, 116 St will be reduced to a single lane with shared through and left turns in each direction . Northbound will be unchanged from the previous TDN 574, while Southbound will see an additional through lane closed.",Road Construction,Construction,Central,Road and Sidewalk,POINT (-113.52132063434321 53.54094139539932)
5,,"Mar 31, 2025","May 10, 2025",Complete,One lane closures for both directions,106 Street NW,Whitemud Drive NW,45 Avenue NW,Travel Delays,42 Days,"Meridian lanes will be closed for both directions on 106 Street between Whitemud
Drive and 45 Avenue.",Construction,Construction,Central,Road,POINT (-113.50433569913429 53.481338296777295)
621,,"Aug 15, 2025","Aug 16, 2025",Complete,Double lane closure Eastbound,Whitemud Drive NW,111 Street NW,,Travel Delays,2 Days,"Aug 15th @ 10pm to Aug 16th @ 8pm. Whitemud Dr @ 111st Overpass will be
reduced to 2 lanes eastbound. Both straight through lanes Eastbound will be closed. Straight through movements permitted from the #3 outside left turning lane. Expect delays.",LRT Track Repair,Construction,Southwest,Road,POINT (-113.5304417803415 53.493770973792785)
244,,"Jun 03, 2025","Jun 13, 2025",Complete,91 Street Road Repair,91 Street,41 Avenue SW,73 Avenue SW,Total Closure,11 Days,"Starting June 3, 91 Street is closed from 41 Avenue SW to 73 Avenue SW (Rge Rd 510) for road repairs.",Road Construction,Construction,Southeast,Road,POINT (-113.46726447277273 53.36691040411281)
300,,"Jun 30, 2025","Jul 07, 2025",Complete,Baturyn Rehab Stage 5,172 Avenue NW,101 Street NW,103 Street NW,Total Closure,One Week,"172 Ave from the East side of 101 Street to the West side of 103 St will be closed. Pedestrian access will be maintained. Detour using 100 St, 109 St, and 172 Ave.",Collector Rehab,Construction,Northeast,Road,POINT (-113.4980668610505 53.63412567953769)
81,,"Apr 08, 2025","Apr 08, 2025",Complete,"WB 102 Ave Closed, 123 St - Alley W/O 123 St",102 Avenue NW,123 Street NW,124 Street NW,Directional Closure,1 Day (9am - 11am),Westbound 102 Ave closed from 123 St to the alley west of 123 St. Local access maintained in the eastbound direction. Access to the 102 Ave bike facility maintained.,Drainage Inspection,Construction,Central,Road,POINT (-113.53412815221492 53.54301657658639)
163,,"May 03, 2025","May 03, 2025",Complete,Travel Delays - 111 Ave; 111 St to 113 St,111 Avenue NW,111 Street NW,113 Street NW,Travel Delays,1 Day (08:00 - 16:00),Edmonton Fire Rescue will be hosting their annual MDA Boot Drive on May 3rd from 08:00 to 16:00. Please expect travel delays on 111 Avenue from 111 Street to 113 Street.,2025 MDA Boot Drive,Special Event,Central,Road,POINT (-113.51214770230767 53.55883283514662)
890,,"Sep 12, 2025","Sep 14, 2025",Current,50 St and 137 Ave Intersection Closure,50 Street NW,137 Avenue NW,,Total Closure,Two Nights (9PM to 9AM),"50 Street and 137 Ave intersection will be closed, all traffic sent to right turn bays. Pedestrians maintained.",Milling and Paving,Construction,Northeast,Road,POINT (-113.41342118599543 53.59704039314359)
249,,"Jun 01, 2025","Oct 12, 2025",Current,"102 Ave Closed (Sundays), 124 St - 122 St",102 Avenue NW,124 Street NW,122 Street NW,Total Closure,4.5 Months (Sundays 9am - 4pm),"102 Ave, 124 St - 122 St will be closed on Sundays from 9am - 4pm starting June 01 for the 124 Grand Market. Cyclists will be asked to dismount and walk within the closure limits.",124 Grand Market,Special Event,Central,Road,POINT (-113.53589795229281 53.54302873504602)
625,,"Aug 25, 2025","Sep 17, 2025",REVISED,100 Av Closed,100 Avenue NW,147 Street NW,146 Street NW,Total Closure,3.5 Weeks,100 Av will be closed from 147 St to 146 St. The intersection of 147 St and 146 St will be closed at 100 Av.,Water Line Repairs,Construction,Northwest,Road,POINT (-113.57452700242312 53.53926310924436)
292,,"Jun 11, 2025","Jun 12, 2025",Complete,Eastbound 82 Ave Lane Closures,82 Avenue NW,106 Street NW,107 Street NW,Travel Delays,1 Night (10pm - 5am),Eastbound 82 Ave from 107 St - 106 St will be reduced to a single lane. The 82 ave westbound to soutbound 106 st turn will be banned also. Please use other routes.,Power Repair,Construction,Central,Road,POINT (-113.50348332171318 53.518085879098344)
456,,"Jul 25, 2025","Jul 28, 2025",Complete,184 St Reduced to 1 Lane Each Way,184 Street NW,102 Avenue NW,104 Avenue NW,Travel Delays,4 Days,184 St will be reduced to 1 lane each way from 102 Av to 104 Av. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.63981901518697 53.54331084351334)
349,,"Jun 17, 2025","Jun 17, 2025",Complete,104 St southbound closure,104 Street NW,Jasper Avenue NW,100 Avenue NW,Directional Closure,1 day - 9am to 3:30pm,104 St Southbound will be closed due to drainage maintenance. Use 105 St or 103 St for detour,Drainage Maintenance,Construction,Central,Road,POINT (-113.49924937072183 53.5409311968637)
427,,"Jun 27, 2025","Jul 09, 2025",Complete,Single Lane Closures 9 am - 3 pm,Yellowhead Trail NW,82 Street NW,50 Street NW,Increased Travel Time,12 Days - Monday - Friday,Yellowhead Trail will have a single lane closure in either the EB or WB Direction from 9am to 3pm Monday to Friday freom June 27 to July 9 for surveying. Expect delays,Surveying,Construction,Northeast,Road,POINT (-113.41828127283172 53.58243739951271)
178,,"May 18, 2025","May 18, 2025",Complete,Vaisakhi Nagar (Sikh Parade),Mill Woods Road East NW,Mill Woods Road South NW,26 Avenue NW,Total Closure,1 day,"Mill Woods Rd South and Mill Woods Rd East will be closed in stages for the Vaisakhi Nagar Parade. 
23 Av will experience a closure when the parade crosses between 12:00 - 13:00 hr.",Special Event Parade,Special Event,Southeast,Road,POINT (-113.40607512077817 53.44275470881105)
473,,"Jul 03, 2025","Jul 10, 2025",Complete,97 St 132 Ave Delays,97 Street NW,132 Avenue NW,,Travel Delays,One Week,Northbound 97 St outside lane closed at 132 Ave. Westbound 132 Ave reducued to one outside lane. East crosswalk closed.,Utility Repair,Construction,Northeast,Road and Sidewalk,POINT (-113.48837550340336 53.56931199273022)
130,,"Apr 28, 2025","Oct 01, 2025",REVISED,95 Ave Eastbound Single Lane Closure,95 Avenue NW,182 Street NW,170 Street NW,Travel Delays,6 Months,Starting April 28 @ 9am Eastbound 95 Ave from 182 St - 170 St will be reduced to a single lane. The south sidewalk will be closed in stages and pedestrian detours in place. Use other routes.,Sidewalk and Road Rehab,Construction,Northwest,Road and Sidewalk,POINT (-113.63857738178548 53.5292453989053)
415,,"Jul 01, 2025","Jul 01, 2025",Complete,Saskatchewan Dr Closure,Saskatchewan Drive,116 Street NW,111 Street NW,Total Closure,7:00am - 9:00am,"Total closure of Saskatchewan Dr, 111 St - 116 St to accommodate the Canada Day Road Race.",Canada Day Road Race,Construction,Central,Road,POINT (-113.53059141096442 53.53082834337662)
797,,"Aug 28, 2025","Sep 25, 2025",Current,92 St total closure,92 Street NW,105A Avenue NW,107A Avenue NW,Total Closure,1 month,92 St will be total closed. Use 95 St or 82 St as detour.,Road reconstruction,Construction,Central,Road and Sidewalk,POINT (-113.47708741849782 53.55135717224354)
612,,"Aug 07, 2025","Aug 25, 2025",Revised,Ottewell Road/94b Avenue Intersection Closure,Ottewell Road NW,94 Avenue NW,95 Avenue NW,Total Closure,19 Days,"The intersection of Ottewell Rd and 94b Ave will be closed. Use other routes. Local pedestrian access maintained, follow signage on site",Road Reconstruction,Construction,Southeast,Road and Sidewalk,POINT (-113.43641477707935 53.5335321208375)
