Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-14 00:00:00-04:00,213.81807545397245,214.9878436739825,210.107425642433,211.7661895751953,23421700,0.0,0.0
2020-10-15 00:00:00-04:00,208.1610097896488,211.2867754707797,207.1158789362711,210.6156005859375,22733100,0.0,0.0
2020-10-16 00:00:00-04:00,211.08541569006942,213.1373015554528,210.28960344623061,210.6156005859375,26057900,0.0,0.0
2020-10-19 00:00:00-04:00,211.34428086543105,213.14687719644527,204.92015397771777,205.39956665039062,27625800,0.0,0.0
2020-10-20 00:00:00-04:00,206.91450174044525,208.41984984684413,204.3160787516439,205.8118438720703,22753500,0.0,0.0
2020-10-21 00:00:00-04:00,204.34483913835186,207.9883781310668,204.34483913835186,205.95567321777344,22724900,0.0,0.0
2020-10-22 00:00:00-04:00,205.12151335460695,207.16381616381312,202.98333678251518,206.0419921875,22351500,0.0,0.0
2020-10-23 00:00:00-04:00,206.17624036102944,207.37477220269963,204.38324140765587,207.3268280029297,18879600,0.0,0.0
2020-10-26 00:00:00-04:00,205.04481424683485,207.4322800897711,199.5315682881296,201.43003845214844,37111600,0.0,0.0
2020-10-27 00:00:00-04:00,202.8778744322452,205.83105858814426,201.6697596264064,204.4695281982422,36700300,0.0,0.0
2020-10-28 00:00:00-04:00,199.11930751007003,200.2411316890201,193.77865660871706,194.3347625732422,51195600,0.0,0.0
2020-10-29 00:00:00-04:00,195.66749508625168,198.8220240324159,194.99630564065131,196.2907257080078,31432600,0.0,0.0
2020-10-30 00:00:00-04:00,195.12095071592788,195.87841627391037,191.40070382886736,194.13336181640625,36953700,0.0,0.0
2020-11-02 00:00:00-05:00,195.87845051085,196.8276930012866,191.8801500222791,193.99916076660156,30842200,0.0,0.0
2020-11-03 00:00:00-05:00,195.49491819127326,199.55074570208873,194.7566185066281,197.93032836914062,27512000,0.0,0.0
2020-11-04 00:00:00-05:00,205.20781312721707,209.33076521149155,203.67368665801723,207.480224609375,42311800,0.0,0.0
2020-11-05 00:00:00-05:00,212.89758337359194,214.89194194247165,212.04422936084907,214.0961151123047,36080100,0.0,0.0
2020-11-06 00:00:00-05:00,213.10848583166907,215.12202462415615,209.05265929135774,214.5083770751953,25231900,0.0,0.0
2020-11-09 00:00:00-05:00,215.19878504738315,218.72725565955997,208.90889247401392,209.39788818359375,44395000,0.0,0.0
2020-11-10 00:00:00-05:00,205.668006279092,207.58565668728866,201.08482297394292,202.3217010498047,44045100,0.0,0.0
2020-11-11 00:00:00-05:00,203.644904464667,209.0622615463658,203.46272531715806,207.6336212158203,29440800,0.0,0.0
2020-11-12 00:00:00-05:00,208.26644552097468,210.0882077008986,205.62967600078795,206.56932067871094,21593900,0.0,0.0
2020-11-13 00:00:00-05:00,207.4514579254129,208.4678104781367,205.34204503459753,207.59527587890625,18621100,0.0,0.0
2020-11-16 00:00:00-05:00,206.0228159261353,208.77465486518045,205.68723580318886,208.28564453125,24953300,0.0,0.0
2020-11-17 00:00:00-05:00,207.20217276240635,208.71710400471295,205.26534137683592,205.62969970703125,24154100,0.0,0.0
2020-11-18 00:00:00-05:00,205.38940302717145,206.85063765875663,202.77456828383853,202.9187774658203,28372800,0.56,0.0
2020-11-19 00:00:00-05:00,203.20709622815124,204.79329388523163,201.81314806238433,204.20687866210938,24792700,0.0,0.0
2020-11-20 00:00:00-05:00,203.99543213609604,205.04328452616463,201.880496534734,202.2554168701172,22843100,0.0,0.0
2020-11-23 00:00:00-05:00,202.79375500799998,204.0819412748359,200.111634964733,201.98623657226562,25683500,0.0,0.0
2020-11-24 00:00:00-05:00,201.48635508285824,205.9661831708243,200.7845840969435,205.5912628173828,33979700,0.0,0.0
2020-11-25 00:00:00-05:00,206.79292213943785,206.9659555236733,204.24538841273622,205.60086059570312,21012900,0.0,0.0
2020-11-27 00:00:00-05:00,206.54296659445313,207.90806143290217,205.76427241000349,206.90826416015625,14512200,0.0,0.0
2020-11-30 00:00:00-05:00,205.82199075457697,206.45646120377745,202.6880268091678,205.79315185546875,33064800,0.0,0.0
2020-12-01 00:00:00-05:00,206.2161203701726,208.91748606981452,205.10098208136208,207.85040283203125,30904500,0.0,0.0
2020-12-02 00:00:00-05:00,206.5718168405199,207.13900137457546,204.5722368539739,207.04286193847656,23724500,0.0,0.0
2020-12-03 00:00:00-05:00,206.31224772970052,208.0138159646571,205.3893590366748,205.95655822753906,25120900,0.0,0.0
2020-12-04 00:00:00-05:00,205.93734351471602,207.05249649427384,204.93754613000235,206.07192993164062,24666000,0.0,0.0
2020-12-07 00:00:00-05:00,206.08151676587187,207.20627770612253,204.7548835554524,206.00460815429688,24620000,0.0,0.0
2020-12-08 00:00:00-05:00,205.69699327130186,208.5617694437516,204.6587489935617,207.65811157226562,23284100,0.0,0.0
2020-12-09 00:00:00-05:00,206.8410048659269,206.90829074108822,203.04373156194043,203.6109161376953,32440600,0.0,0.0
2020-12-10 00:00:00-05:00,203.5820405728166,204.8413878398677,202.2265538799134,202.38037109375,26733300,0.0,0.0
2020-12-11 00:00:00-05:00,201.92858566010742,205.0721578012506,201.02492767033132,205.01446533203125,30979400,0.0,0.0
2020-12-14 00:00:00-05:00,204.86060005845812,207.8503540376734,204.64910507583977,205.91806030273438,28798400,0.0,0.0
2020-12-15 00:00:00-05:00,206.850597476952,207.0909313980809,204.0338909623543,205.85081481933594,27000600,0.0,0.0
2020-12-16 00:00:00-05:00,206.44686205659363,211.59962250655175,206.418023156238,210.8017120361328,35023300,0.0,0.0
2020-12-17 00:00:00-05:00,211.36886214164468,212.34942860017748,209.494260580345,210.93626403808594,32515800,0.0,0.0
2020-12-18 00:00:00-05:00,210.1383819580078,211.19585717009113,207.6677566626054,210.1383819580078,63354900,0.0,0.0
2020-12-21 00:00:00-05:00,209.1385931961624,215.33920578615155,208.87902843906147,213.9837188720703,37181900,0.0,0.0
2020-12-22 00:00:00-05:00,214.07983982803108,216.90616900693473,213.27232139657806,215.28150939941406,22612200,0.0,0.0
2020-12-23 00:00:00-05:00,214.48362981944945,214.91622799345612,212.2629464799046,212.4744415283203,18699600,0.0,0.0
2020-12-24 00:00:00-05:00,212.85894922282563,214.96427675569586,212.6474541950329,214.1375274658203,10550600,0.0,0.0
2020-12-28 00:00:00-05:00,215.7717791429796,217.2906911980974,214.39707623360107,216.26206970214844,17933500,0.0,0.0
2020-12-29 00:00:00-05:00,217.55988713891716,218.39624453164663,214.93544469810388,215.4833984375,17403200,0.0,0.0
2020-12-30 00:00:00-05:00,216.52164682313952,216.90618992435643,212.90702968461719,213.10890197753906,20272300,0.0,0.0
2020-12-31 00:00:00-05:00,213.12811911349903,214.3778584417663,211.18621691630892,213.82028198242188,20942100,0.0,0.0
2021-01-04 00:00:00-05:00,213.92603952860762,214.37786849670263,206.50452649503688,209.27317810058594,37130100,0.0,0.0
2021-01-05 00:00:00-05:00,208.85976716508725,210.0710594090714,207.36008597617078,209.4750213623047,23823000,0.0,0.0
2021-01-06 00:00:00-05:00,203.96656368510168,208.1195403388213,203.745460613917,204.04347229003906,35930700,0.0,0.0
2021-01-07 00:00:00-05:00,205.76425374048165,210.85933506628487,205.44702591896962,209.8499298095703,27694500,0.0,0.0
2021-01-08 00:00:00-05:00,210.2248669478522,212.0514134324191,208.6386690377971,211.12852478027344,22956200,0.0,0.0
2021-01-11 00:00:00-05:00,210.0229916301851,210.44598164507218,208.3502623900818,209.0808868408203,23031300,0.0,0.0
2021-01-12 00:00:00-05:00,208.12919249318384,208.70599981796764,205.0721518107608,206.61988830566406,23249300,0.0,0.0
2021-01-13 00:00:00-05:00,205.74506591051468,208.37911628016133,205.65853455119372,207.97535705566406,20087100,0.0,0.0
2021-01-14 00:00:00-05:00,207.5619813337417,209.0520545079318,204.51454911841776,204.78372192382812,29480800,0.0,0.0
2021-01-15 00:00:00-05:00,205.26439629941862,206.21610922436778,203.83200087080638,204.4280242919922,31746500,0.0,0.0
2021-01-19 00:00:00-05:00,205.48553742605014,208.5906481065517,204.4088459707527,208.071533203125,30480900,0.0,0.0
