Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
6134,BLUE,> 95 L/s,1968,53.53921,-113.61273,POINT (-113.61273 53.53921),EPCOR,10003 169 STREET NW,FAC
14506,BLACK,> 95 L/s,1992,53.47344,-113.59873,POINT (-113.598724 53.473446),EPCOR,533 HEFFERNAN DRIVE NW,FAC
23008,BLUE,> 95 L/s,2014,53.41252,-113.56207,POINT (-113.56207 53.412518),EPCOR,4250 PROWSE WAY SW,FAC
21790,BLUE,> 95 L/s,2013,53.42123,-113.60622,POINT (-113.60622 53.42123),EPCOR,1314 164A STREET SW,FAC
3852,BLUE,> 95 L/s,2019,53.57891,-113.57663,POINT (-113.57663 53.578915),EPCOR,14822 124 AVENUE NW,FAC
7109,BLACK,> 95 L/s,1973,53.47358,-113.44270,POINT (-113.442696 53.47358),EPCOR,847 LEE RIDGE ROAD NW,FAC
26053,BLUE,> 95 L/s,2018,53.41837,-113.62790,POINT (-113.6279 53.418373),EPCOR,3012 KOSTASH COURT SW,FAC
9993,BLUE,> 95 L/s,1978,53.45254,-113.52384,POINT (-113.52384 53.452538),EPCOR,11445 22 AVENUE NW,FAC
2530,BLUE,> 95 L/s,2007,53.55398,-113.52608,POINT (-113.52608 53.553978),EPCOR,10806 119 STREET NW,FAC
16832,BLUE,> 95 L/s,2002,53.42244,-113.53333,POINT (-113.533325 53.422443),EPCOR,1403 RUTHERFORD COURT SW,FAC
17666,BLUE,> 95 L/s,2003,53.48945,-113.67358,POINT (-113.67358 53.48945),EPCOR,5317 205 STREET NW,FAC
3783,BLUE,> 95 L/s,2012,53.51624,-113.56032,POINT (-113.560326 53.516235),EPCOR,13807 84 AVENUE NW,FAC
25000,BLUE,> 95 L/s,2017,53.52353,-113.46238,POINT (-113.46238 53.52353),EPCOR,8805 88 AVENUE NW,FAC
17116,BLACK,> 95 L/s,2002,53.41780,-113.53128,POINT (-113.53128 53.417797),EPCOR,12125 16 AVENUE SW,FAC
5781,BLACK,> 95 L/s,1966,53.55720,-113.39516,POINT (-113.39516 53.557198),EPCOR,3416 103 AVENUE NW,FAC
22804,GREEN,60-95 L/s,2014,53.51095,-113.56538,POINT (-113.565384 53.510944),EPCOR,13904 75 AVENUE NW,FAC
19571,BLUE,> 95 L/s,2007,53.43505,-113.61740,POINT (-113.6174 53.43505),EPCOR,1238 WINDERMERE WAY SW,FAC
24113,BLUE,> 95 L/s,2018,53.56752,-113.51749,POINT (-113.51749 53.56752),EPCOR,7066 FANE ROAD NW,FAC
12135,BLUE,> 95 L/s,1982,53.49530,-113.42577,POINT (-113.42577 53.495296),EPCOR,5918 ROPER ROAD NW,FAC
14361,BLACK,> 95 L/s,1990,53.59188,-113.49667,POINT (-113.496666 53.591885),EPCOR,10215 132 AVENUE NW,FAC
25616,BLUE,> 95 L/s,2018,53.53405,-113.53624,POINT (-113.53623 53.53405),EPCOR,11904 EMILY MURPHY PARK ROAD NW,FAC
8426,BLACK,> 95 L/s,1976,53.51419,-113.40507,POINT (-113.405075 53.51419),EPCOR,4143 78 AVENUE NW,FAC
17804,BLUE,> 95 L/s,2005,53.41587,-113.53165,POINT (-113.53165 53.41587),EPCOR,12124 18 AVENUE SW,FAC
11452,BLUE,> 95 L/s,1980,53.49383,-113.64373,POINT (-113.64373 53.49383),EPCOR,5804 186 STREET NW,FAC
26851,BLUE,> 95 L/s,2019,53.57104,-113.40599,POINT (-113.40599 53.571037),EPCOR,11817 42 STREET NW,FAC
4341,BLUE,> 95 L/s,2023,53.57823,-113.41367,POINT (-113.41367 53.578228),EPCOR,12237 47 STREET NW,FAC
17062,BLUE,> 95 L/s,2002,53.45382,-113.56877,POINT (-113.56877 53.453823),EPCOR,14313 23 AVENUE NW,FAC
382,BLACK,> 95 L/s,1999,53.56487,-113.43286,POINT (-113.43285 53.564873),EPCOR,11119 62 STREET NW,FAC
8084,BLACK,> 95 L/s,1975,53.54953,-113.48664,POINT (-113.48664 53.549534),EPCOR,9633 105A AVENUE NW,FAC
