Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
17418,BLACK,> 95 L/s,2003,53.55906,-113.53761,POINT (-113.53761 53.55906),EPCOR,12430 111 AVENUE NW,FAC
2713,BLUE,> 95 L/s,1982,53.56065,-113.56758,POINT (-113.56757 53.560654),EPCOR,11208 143 STREET NW,FAC
10115,BLUE,> 95 L/s,1978,53.57028,-113.59965,POINT (-113.59965 53.570282),EPCOR,16103 118 AVENUE NW,FAC
847,BLUE,> 95 L/s,2007,53.52736,-113.48580,POINT (-113.485794 53.527363),EPCOR,9203 99 STREET NW,FAC
17130,BLACK,> 95 L/s,2002,53.42893,-113.46490,POINT (-113.4649 53.428932),EPCOR,416 86 STREET SW,FAC
25751,BLUE,> 95 L/s,2018,53.57668,-113.48040,POINT (-113.4804 53.576687),EPCOR,9008 122 AVENUE NW,FAC
19876,BLUE,> 95 L/s,2013,53.64362,-113.48611,POINT (-113.486115 53.643616),EPCOR,9407 181 AVENUE NW,FAC
24124,BLUE,> 95 L/s,2018,53.57002,-113.51742,POINT (-113.51742 53.57002),EPCOR,2704 BLATCHFORD ROAD NW,FAC
21980,BLUE,> 95 L/s,2014,53.42321,-113.42571,POINT (-113.425705 53.423214),EPCOR,256 WATT COMMON SW,FAC
19781,BLUE,> 95 L/s,2008,53.40522,-113.52771,POINT (-113.52771 53.405216),EPCOR,1643 CUNNINGHAM WAY SW,FAC
1189,BLUE,> 95 L/s,2009,53.55903,-113.54633,POINT (-113.546326 53.559032),EPCOR,11115 130 STREET NW,FAC
105,BLUE,> 95 L/s,1974,53.57488,-113.53006,POINT (-113.53006 53.57488),EPCOR,12021 121 STREET NW,FAC
13360,BLUE,> 95 L/s,2001,53.58155,-113.48122,POINT (-113.481224 53.581554),EPCOR,12432 91 STREET NW,FAC
19588,BLUE,> 95 L/s,2007,53.41909,-113.52003,POINT (-113.520035 53.419094),EPCOR,11314 13A AVENUE SW,FAC
19223,BLUE,> 95 L/s,2008,53.60413,-113.50414,POINT (-113.504135 53.604126),EPCOR,2581 PEGASUS BOULEVARD NW,FAC
6392,BLUE,> 95 L/s,1969,53.59029,-113.57581,POINT (-113.575806 53.59029),EPCOR,13040 148 STREET NW,FAC
6937,BLUE,> 95 L/s,1972,53.46125,-113.43849,POINT (-113.43849 53.46125),EPCOR,3011 68 STREET NW,FAC
8678,BLUE,> 95 L/s,2017,53.47663,-113.42509,POINT (-113.425095 53.476624),EPCOR,5724 40 AVENUE NW,FAC
6742,BLUE,> 95 L/s,1971,53.51843,-113.62333,POINT (-113.62333 53.518433),EPCOR,8419 175 STREET NW,FAC
23294,BLUE,> 95 L/s,2017,53.52985,-113.70524,POINT (-113.70524 53.52985),EPCOR,9396 224 STREET NW,FAC
24568,BLUE,> 95 L/s,2016,53.53667,-113.70566,POINT (-113.705666 53.53667),EPCOR,22628 97 AVENUE NW,FAC
18229,BLUE,> 95 L/s,2005,53.49081,-113.67272,POINT (-113.67272 53.490807),EPCOR,20427 56 AVENUE NW,FAC
11707,BLUE,> 95 L/s,1981,53.51468,-113.64724,POINT (-113.64724 53.514683),EPCOR,8106 188A STREET NW,FAC
14763,BLUE,> 95 L/s,1992,53.44559,-113.52871,POINT (-113.52872 53.44559),EPCOR,433 TWIN BROOKS CRESCENT NW,FAC
16002,BLUE,> 95 L/s,1998,53.44782,-113.54207,POINT (-113.54207 53.447823),EPCOR,1005 TWIN BROOKS COURT NW,FAC
27047,BLUE,> 95 L/s,2021,53.41098,-113.63142,POINT (-113.631424 53.410984),EPCOR,7939 KORULUK WAY SW,CCC
21352,BLUE,> 95 L/s,2012,53.63697,-113.42061,POINT (-113.42061 53.636967),EPCOR,5613 175A AVENUE NW,FAC
2756,BLACK,> 95 L/s,2016,53.52442,-113.56885,POINT (-113.568855 53.524414),EPCOR,9040 144 STREET NW,FAC
9456,BLUE,> 95 L/s,1978,53.61432,-113.51510,POINT (-113.5151 53.614315),EPCOR,15333 CASTLE DOWNS ROAD NW,FAC
3702,BLACK,> 95 L/s,1971,53.53767,-113.43671,POINT (-113.43671 53.537666),EPCOR,9803 71 STREET NW,FAC
16810,BLUE,> 95 L/s,2001,53.61430,-113.51906,POINT (-113.51906 53.6143),EPCOR,11410 153 AVENUE NW,FAC
10025,BLACK,> 95 L/s,1978,53.62781,-113.52691,POINT (-113.52691 53.62781),EPCOR,76 DUNLUCE ROAD NW,FAC
6455,BLACK,> 95 L/s,1994,53.54297,-113.52781,POINT (-113.52781 53.542973),EPCOR,11918 102 AVENUE NW,FAC
24574,BLUE,> 95 L/s,2016,53.53696,-113.71248,POINT (-113.71248 53.53696),EPCOR,22943 97 AVENUE NW,FAC
1720,BLUE,> 95 L/s,1990,53.50404,-113.51997,POINT (-113.519966 53.50404),EPCOR,6702 112 STREET NW,FAC
2130,GREEN,60-95 L/s,2020,53.52585,-113.45463,POINT (-113.45463 53.525852),EPCOR,7983 91 AVENUE NW,FAC
19112,BLUE,> 95 L/s,2007,53.45702,-113.38244,POINT (-113.38244 53.45702),EPCOR,2715 29 STREET NW,FAC
27074,BLUE,> 95 L/s,2020,53.54602,-113.50461,POINT (-113.50461 53.54602),EPCOR,10349 107 STREET NW,INSERVICE
6549,BLACK,> 95 L/s,1970,53.47593,-113.51530,POINT (-113.5153 53.475925),EPCOR,11008 40 AVENUE NW,FAC
6791,BLUE,> 95 L/s,1971,53.61149,-113.46930,POINT (-113.46931 53.611492),EPCOR,8304 150 AVENUE NW,FAC
1372,BLUE,> 95 L/s,1986,53.51042,-113.51644,POINT (-113.51644 53.51042),EPCOR,10988 74 AVENUE NW,FAC
11774,BLUE,> 95 L/s,1981,53.54868,-113.63670,POINT (-113.6367 53.54868),EPCOR,18203 105 AVENUE NW,FAC
3468,BLUE,> 95 L/s,2010,53.59779,-113.52823,POINT (-113.52824 53.597786),EPCOR,13535 120 STREET NW,FAC
8605,BLUE,> 95 L/s,1976,53.48384,-113.49475,POINT (-113.49475 53.483837),EPCOR,4511 CALGARY TRAIL NW,FAC
20291,BLUE,> 95 L/s,2009,53.40464,-113.51761,POINT (-113.51761 53.404644),EPCOR,1504 ADAMSON VIEW SW,FAC
18089,BLUE,> 95 L/s,2004,53.59516,-113.58110,POINT (-113.5811 53.59516),EPCOR,13449 149 STREET NW,FAC
23521,BLUE,> 95 L/s,2014,53.62974,-113.53511,POINT (-113.53511 53.629745),EPCOR,16730 122A STREET NW,FAC
11807,BLUE,> 95 L/s,1982,53.50594,-113.63893,POINT (-113.63893 53.505943),EPCOR,18305 72 AVENUE NW,FAC
10720,BLUE,> 95 L/s,2006,53.45228,-113.47882,POINT (-113.47882 53.45228),EPCOR,9650 20 AVENUE NW,FAC
3247,ORANGE,30-60 L/s,1957,53.54477,-113.41372,POINT (-113.41373 53.544765),EPCOR,4614 103 AVENUE NW,FAC
27204,BLUE,> 95 L/s,2021,53.58814,-113.68437,POINT (-113.68437 53.588142),EPCOR,2375 TRUMPETER WAY NW,CCC
16134,BLACK,> 95 L/s,1999,53.56233,-113.62129,POINT (-113.621284 53.562332),EPCOR,11379 174 STREET NW,FAC
19152,BLUE,> 95 L/s,2008,53.47510,-113.36140,POINT (-113.361404 53.4751),EPCOR,3763 13 STREET NW,FAC
7242,BLUE,> 95 L/s,2012,53.61346,-113.41836,POINT (-113.418365 53.61346),EPCOR,5003 MCLEOD ROAD NW,FAC
16374,BLACK,> 95 L/s,1999,53.62622,-113.44803,POINT (-113.44804 53.626217),EPCOR,281 OZERNA ROAD NW,FAC
4662,ORANGE,30-60 L/s,1963,53.48650,-113.53455,POINT (-113.534546 53.4865),EPCOR,11707 49 AVENUE NW,FAC
13465,BLACK,> 95 L/s,1987,53.47522,-113.59277,POINT (-113.59277 53.47522),EPCOR,457 RONNING STREET NW,FAC
5004,BLUE,> 95 L/s,1985,53.52749,-113.61079,POINT (-113.610794 53.527493),EPCOR,9122 167 STREET NW,FAC
18982,BLUE,> 95 L/s,2006,53.45495,-113.38309,POINT (-113.38309 53.45495),EPCOR,2903 25 AVENUE NW,FAC
24632,BLUE,> 95 L/s,2016,53.54503,-113.48087,POINT (-113.48087 53.545036),EPCOR,9540 102 AVENUE NW,FAC
2038,BLUE,> 95 L/s,2006,53.52239,-113.53236,POINT (-113.53236 53.52239),EPCOR,8660 117 STREET NW,FAC
10127,BLUE,> 95 L/s,1978,53.61962,-113.51148,POINT (-113.511475 53.619617),EPCOR,15812 109 STREET NW,FAC
19419,BLUE,> 95 L/s,2008,53.43665,-113.62610,POINT (-113.6261 53.43665),EPCOR,3305 WATSON BAY SW,FAC
1941,BLUE,> 95 L/s,2015,53.50192,-113.48974,POINT (-113.489746 53.50192),EPCOR,9950 65 AVENUE NW,FAC
23795,BLUE,> 95 L/s,2015,53.45611,-113.36254,POINT (-113.36254 53.456104),EPCOR,2415 13 STREET NW,FAC
22792,BLUE,> 95 L/s,2015,53.63646,-113.46520,POINT (-113.465195 53.636456),EPCOR,505 CRYSTALLINA NERA DRIVE NW,FAC
5019,BLUE,> 95 L/s,2020,53.52487,-113.59758,POINT (-113.59758 53.524868),EPCOR,8847 161 STREET NW,FAC
3045,BLUE,> 95 L/s,2014,53.51520,-113.56584,POINT (-113.565834 53.515198),EPCOR,8101 142 STREET NW,FAC
26709,BLUE,> 95 L/s,2021,53.63813,-113.34329,POINT (-113.343285 53.638126),EPCOR,17404 MERIDIAN STREET NW,INSERVICE
24145,BLUE,> 95 L/s,2016,53.41916,-113.61750,POINT (-113.6175 53.41916),EPCOR,1787 KEENE CRESCENT SW,FAC
10526,BLUE,> 95 L/s,1979,53.44914,-113.50060,POINT (-113.500595 53.449142),EPCOR,1939 105 STREET NW,FAC
18464,BLUE,> 95 L/s,2005,53.43576,-113.57633,POINT (-113.57633 53.435764),EPCOR,8103 SHASKE DRIVE NW,FAC
11049,BLACK,> 95 L/s,1979,53.56945,-113.58455,POINT (-113.58455 53.569447),EPCOR,15230 117 AVENUE NW,FAC
1048,BLUE,> 95 L/s,1963,53.56599,-113.51935,POINT (-113.519356 53.565987),EPCOR,11444 KINGSWAY NW,FAC
8676,BLUE,> 95 L/s,1977,53.47756,-113.42843,POINT (-113.42843 53.477562),EPCOR,6004 40 AVENUE NW,FAC
19635,BLUE,> 95 L/s,2008,53.45783,-113.58449,POINT (-113.58449 53.45783),EPCOR,2050 LEGER ROAD NW,FAC
22139,BLUE,> 95 L/s,2013,53.39930,-113.53810,POINT (-113.53809 53.3993),EPCOR,727 ALLARD BOULEVARD SW,FAC
19732,BLUE,> 95 L/s,2008,53.60957,-113.36158,POINT (-113.36159 53.60957),EPCOR,722 FRASER VISTA NW,FAC
18793,BLUE,> 95 L/s,2008,53.41312,-113.53995,POINT (-113.53995 53.41312),EPCOR,2023 126 STREET SW,FAC
10491,BLUE,> 95 L/s,1979,53.46741,-113.40607,POINT (-113.40607 53.467407),EPCOR,4115 36 AVENUE NW,FAC
21725,BLUE,> 95 L/s,2014,53.44286,-113.38599,POINT (-113.38599 53.442856),EPCOR,3015 16 AVENUE NW,FAC
5464,BLACK,> 95 L/s,1965,53.47821,-113.52583,POINT (-113.52583 53.47821),EPCOR,11403 42 AVENUE NW,FAC
21169,BLUE,> 95 L/s,2012,53.40261,-113.57534,POINT (-113.57534 53.40261),EPCOR,3685 CLAXTON PLACE SW,FAC
9109,BLACK,> 95 L/s,1977,53.58455,-113.39278,POINT (-113.39278 53.584553),EPCOR,1049 HOOKE ROAD NW,FAC
21479,BLUE,> 95 L/s,2013,53.62775,-113.55126,POINT (-113.55126 53.62775),EPCOR,16535 132 STREET NW,FAC
16101,BLUE,> 95 L/s,1999,53.59425,-113.59006,POINT (-113.59006 53.594246),EPCOR,13410 156 STREET NW,FAC
5318,BLUE,> 95 L/s,1973,53.54466,-113.52606,POINT (-113.52606 53.54466),EPCOR,10249 119 STREET NW,FAC
24964,BLUE,> 95 L/s,2017,53.39641,-113.54455,POINT (-113.544556 53.39641),EPCOR,1024 DANIELS LOOP SW,FAC
4757,BLUE,> 95 L/s,1963,53.48940,-113.48626,POINT (-113.48626 53.489395),EPCOR,5220 99 STREET NW,FAC
2389,BLUE,> 95 L/s,2012,53.50008,-113.47958,POINT (-113.47958 53.50008),EPCOR,9704 63 AVENUE NW,FAC
21167,BLUE,> 95 L/s,2013,53.40977,-113.57607,POINT (-113.57607 53.40977),EPCOR,1633 CHAPMAN WAY SW,FAC
6439,BLUE,> 95 L/s,1970,53.60795,-113.48658,POINT (-113.48658 53.607952),EPCOR,14504 95 STREET NW,FAC
14298,BLACK,> 95 L/s,1989,53.48259,-113.51675,POINT (-113.51675 53.482586),EPCOR,11103 WHITEMUD DRIVE NW,FAC
1740,BLUE,> 95 L/s,1995,53.58248,-113.53942,POINT (-113.53942 53.58248),EPCOR,12545 126 STREET NW,FAC
18124,BLUE,> 95 L/s,2004,53.45129,-113.56113,POINT (-113.56113 53.451286),EPCOR,1018 MCKINNEY GREEN NW,FAC
12951,BLUE,> 95 L/s,1985,53.53436,-113.61923,POINT (-113.61923 53.534363),EPCOR,9731 174 STREET NW,FAC
16437,BLUE,> 95 L/s,2000,53.50437,-113.58972,POINT (-113.58972 53.50437),EPCOR,15510 RIO TERRACE DRIVE NW,FAC
2201,BLUE,> 95 L/s,2006,53.51619,-113.49787,POINT (-113.49787 53.516193),EPCOR,10405 80 AVENUE NW,FAC
21315,BLUE,> 95 L/s,2012,53.62763,-113.39847,POINT (-113.39847 53.62763),EPCOR,3608 167B AVENUE NW,FAC
17220,BLUE,> 95 L/s,2002,53.44503,-113.58071,POINT (-113.58071 53.445026),EPCOR,4790 TERWILLEGAR COMMON NW,FAC
20115,BLUE,> 95 L/s,2007,53.40830,-113.56525,POINT (-113.565254 53.408306),EPCOR,2905 141 STREET SW,FAC
2622,BLUE,> 95 L/s,1986,53.58696,-113.50670,POINT (-113.5067 53.58696),EPCOR,12852 108 STREET NW,FAC
8061,BLACK,> 95 L/s,1975,53.56755,-113.59727,POINT (-113.59727 53.56755),EPCOR,11641 160 STREET NW,FAC
6509,BLUE,> 95 L/s,2018,53.48382,-113.50456,POINT (-113.50456 53.48382),EPCOR,4510 106 STREET NW,FAC
16494,BLACK,> 95 L/s,2002,53.51403,-113.67759,POINT (-113.67759 53.514034),EPCOR,5 LEWIS ESTATES BOULEVARD NW,FAC
10804,BLUE,> 95 L/s,1979,53.46590,-113.48506,POINT (-113.485054 53.465897),EPCOR,3303 PARSONS ROAD NW,FAC
23355,BLUE,> 95 L/s,2014,53.52290,-113.46204,POINT (-113.462036 53.522903),EPCOR,8559 88 STREET NW,FAC
4739,BLUE,> 95 L/s,2016,53.51014,-113.57404,POINT (-113.57404 53.510143),EPCOR,47 QUESNELL CRESCENT NW,FAC
1830,BLACK,> 95 L/s,2009,53.57185,-113.42857,POINT (-113.428566 53.571854),EPCOR,5643 119 AVENUE NW,FAC
18016,BLUE,> 95 L/s,2005,53.43910,-113.57105,POINT (-113.57105 53.4391),EPCOR,7456 SINGER LANDING NW,FAC
8744,BLACK,> 95 L/s,1976,53.58859,-113.37682,POINT (-113.37682 53.588593),EPCOR,12904 22 STREET NW,FAC
26719,BLUE,> 95 L/s,2019,53.41176,-113.63578,POINT (-113.63578 53.411766),EPCOR,8094 KIRIAK LINK SW,FAC
13055,BLUE,> 95 L/s,1985,53.49539,-113.63168,POINT (-113.631676 53.49539),EPCOR,17903 61 AVENUE NW,FAC
18966,BLUE,> 95 L/s,2006,53.47368,-113.36716,POINT (-113.367165 53.473682),EPCOR,1559 37B AVENUE NW,FAC
6372,BLUE,> 95 L/s,1969,53.60236,-113.48265,POINT (-113.48265 53.602356),EPCOR,13915 92 STREET NW,FAC
7570,BLACK,> 95 L/s,1974,53.59645,-113.39818,POINT (-113.39818 53.596447),EPCOR,13509 38 STREET NW,FAC
830,BLUE,> 95 L/s,2017,53.55069,-113.44309,POINT (-113.44309 53.55069),EPCOR,10636 75 STREET NW,FAC
23886,BLUE,> 95 L/s,2015,53.53656,-113.67591,POINT (-113.67591 53.536556),EPCOR,20750 98A AVENUE NW,FAC
17135,BLUE,> 95 L/s,2002,53.44647,-113.57811,POINT (-113.57811 53.446472),EPCOR,4704 TERWILLEGAR COMMON NW,FAC
25483,BLUE,> 95 L/s,2018,53.40519,-113.58356,POINT (-113.583565 53.40519),EPCOR,4253 CHICHAK CLOSE SW,FAC
9607,BLACK,> 95 L/s,1978,53.62821,-113.51848,POINT (-113.51848 53.628204),EPCOR,11316 166 AVENUE NW,FAC
4672,BLUE,> 95 L/s,2021,53.48582,-113.53016,POINT (-113.53016 53.485817),EPCOR,11512 48 AVENUE NW,FAC
22913,BLUE,> 95 L/s,2015,53.45137,-113.37728,POINT (-113.37728 53.451374),EPCOR,2319 21 AVENUE NW,FAC
21535,BLUE,> 95 L/s,2012,53.47736,-113.35578,POINT (-113.35578 53.47736),EPCOR,724 40 AVENUE NW,FAC
22501,BLUE,> 95 L/s,2014,53.45583,-113.36873,POINT (-113.36873 53.455833),EPCOR,2411 17 STREET NW,FAC
6071,BLUE,> 95 L/s,2017,53.54850,-113.61174,POINT (-113.61174 53.548504),EPCOR,10476 MAYFIELD ROAD NW,FAC
12494,BLACK,> 95 L/s,2004,53.57315,-113.58348,POINT (-113.58347 53.573147),EPCOR,15103 121A AVENUE NW,FAC
7591,BLACK,> 95 L/s,1974,53.58615,-113.41628,POINT (-113.416275 53.586147),EPCOR,12716 48 STREET NW,FAC
23515,BLUE,> 95 L/s,2017,53.48168,-113.35173,POINT (-113.35174 53.481686),EPCOR,4424 6 STREET NW,FAC
16768,BLUE,> 95 L/s,2001,53.61783,-113.56291,POINT (-113.56291 53.617832),EPCOR,13903 157 AVENUE NW,FAC
19507,BLUE,> 95 L/s,2007,53.41308,-113.45397,POINT (-113.45397 53.413082),EPCOR,2059 74 STREET SW,FAC
11128,BLUE,> 95 L/s,1981,53.50277,-113.62718,POINT (-113.627174 53.502766),EPCOR,6621 177 STREET NW,FAC
6630,BLUE,> 95 L/s,1971,53.51089,-113.62325,POINT (-113.62325 53.510883),EPCOR,17415 78 AVENUE NW,FAC
22243,BLUE,> 95 L/s,2014,53.42111,-113.59482,POINT (-113.59482 53.42111),EPCOR,1360 158 STREET SW,FAC
8223,BLUE,> 95 L/s,1975,53.50326,-113.59806,POINT (-113.59806 53.503258),EPCOR,100 WOLF WILLOW CRESCENT NW,FAC
23735,BLUE,> 95 L/s,2016,53.60692,-113.51572,POINT (-113.51572 53.606922),EPCOR,6885 AD ASTRA BOULEVARD NW,FAC
24332,BLUE,> 95 L/s,2016,53.46203,-113.66458,POINT (-113.66457 53.46203),EPCOR,3039 200 STREET NW,FAC
20029,BLUE,> 95 L/s,2008,53.44220,-113.55614,POINT (-113.55614 53.442204),EPCOR,4635 MEAD PLACE NW,FAC
3228,BLACK,> 95 L/s,1957,53.52216,-113.56329,POINT (-113.563286 53.522163),EPCOR,14003 89A AVENUE NW,FAC
17545,BLUE,> 95 L/s,2003,53.42191,-113.48499,POINT (-113.484985 53.42191),EPCOR,9807 12 AVENUE SW,FAC
21776,BLUE,> 95 L/s,2013,53.62875,-113.40150,POINT (-113.4015 53.628754),EPCOR,16813 40 STREET NW,FAC
20602,BLUE,> 95 L/s,2010,53.56089,-113.52143,POINT (-113.52143 53.560894),EPCOR,11602 112 AVENUE NW,FAC
4896,BLUE,> 95 L/s,1964,53.60351,-113.43871,POINT (-113.43871 53.603508),EPCOR,14115 63 STREET NW,FAC
7326,BLUE,> 95 L/s,1975,53.59063,-113.41358,POINT (-113.41358 53.590626),EPCOR,241 HABITAT CRESCENT NW,FAC
1356,BLUE,> 95 L/s,2000,53.54772,-113.56062,POINT (-113.560616 53.54772),EPCOR,10439 139 STREET NW,FAC
7061,BLACK,> 95 L/s,1979,53.51247,-113.40047,POINT (-113.400475 53.51247),EPCOR,3840 76 AVENUE NW,FAC
16235,BLUE,> 95 L/s,1998,53.55115,-113.48888,POINT (-113.48888 53.55115),EPCOR,10645 97 STREET NW,FAC
1903,BLUE,> 95 L/s,1996,53.51042,-113.50952,POINT (-113.50952 53.510426),EPCOR,10801 74 AVENUE NW,FAC
16263,BLUE,> 95 L/s,1999,53.48484,-113.65156,POINT (-113.65156 53.48484),EPCOR,4808 190 STREET NW,FAC
8557,BLACK,> 95 L/s,1976,53.63560,-113.50545,POINT (-113.505455 53.6356),EPCOR,17327 106 STREET NW,FAC
16302,BLUE,> 95 L/s,1999,53.62429,-113.47607,POINT (-113.47607 53.624287),EPCOR,8724 163 AVENUE NW,FAC
9872,BLACK,> 95 L/s,1978,53.61946,-113.51763,POINT (-113.51763 53.619457),EPCOR,15905 112B STREET NW,FAC
24659,BLUE,> 95 L/s,2016,53.54609,-113.52962,POINT (-113.52962 53.546093),EPCOR,12041 104 AVENUE NW,FAC
21203,BLUE,> 95 L/s,2013,53.42334,-113.49570,POINT (-113.495705 53.42334),EPCOR,1115 103A STREET SW,FAC
14998,BLACK,> 95 L/s,1992,53.60849,-113.54473,POINT (-113.54472 53.60849),EPCOR,12916 146 AVENUE NW,FAC
26542,BLUE,> 95 L/s,2018,53.34053,-113.56666,POINT (-113.56666 53.34053),EPCOR,14070 102 AVENUE SW,FAC
24882,BLUE,> 95 L/s,2018,53.40707,-113.51477,POINT (-113.51477 53.40707),EPCOR,2105 CAVANAGH DRIVE SW,FAC
479,GREEN,60-95 L/s,1950,53.54121,-113.55180,POINT (-113.551796 53.541206),EPCOR,36 ST GEORGE'S CRESCENT NW,FAC
6038,BLUE,> 95 L/s,1967,53.60705,-113.46699,POINT (-113.46699 53.607044),EPCOR,8116 144 AVENUE NW,FAC
10872,BLACK,> 95 L/s,1979,53.56898,-113.63676,POINT (-113.63676 53.568977),EPCOR,18130 118 AVENUE NW,FAC
12020,BLACK,> 95 L/s,1991,53.59350,-113.46831,POINT (-113.46831 53.5935),EPCOR,13235 83 STREET NW,FAC
3380,BLUE,> 95 L/s,1958,53.51283,-113.50427,POINT (-113.504265 53.512833),EPCOR,10603 UNIVERSITY AVENUE NW,FAC
1780,BLACK,> 95 L/s,1990,53.55618,-113.52303,POINT (-113.52303 53.556183),EPCOR,10947 117 STREET NW,FAC
15644,BLACK,> 95 L/s,1997,53.54895,-113.47188,POINT (-113.47188 53.54895),EPCOR,10286 89 STREET NW,FAC
5762,BLUE,> 95 L/s,1966,53.47320,-113.53082,POINT (-113.53082 53.4732),EPCOR,11523 37B AVENUE NW,FAC
26188,BLUE,> 95 L/s,2022,53.41274,-113.55448,POINT (-113.55448 53.412743),EPCOR,515 PATERSON WAY SW,INSERVICE
187,BLACK,> 95 L/s,1994,53.55149,-113.49641,POINT (-113.49641 53.551495),EPCOR,10204 107 AVENUE NW,FAC
15761,BLUE,> 95 L/s,1997,53.46038,-113.59587,POINT (-113.59587 53.46038),EPCOR,374 HEATH ROAD NW,FAC
7878,BLUE,> 95 L/s,1974,53.57049,-113.40137,POINT (-113.401375 53.570488),EPCOR,11803 39 STREET NW,FAC
27846,BLUE,> 95 L/s,2022,53.63607,-113.34757,POINT (-113.34757 53.63607),EPCOR,17004 MERIDIAN STREET NW,INSERVICE
15654,BLUE,> 95 L/s,1997,53.49828,-113.65282,POINT (-113.652824 53.498283),EPCOR,551 ORMSBY ROAD WEST NW,FAC
7535,BLACK,> 95 L/s,1974,53.44750,-113.46420,POINT (-113.464195 53.447502),EPCOR,1715 89 STREET NW,FAC
21205,BLUE,> 95 L/s,2013,53.42174,-113.49553,POINT (-113.49553 53.42174),EPCOR,1212 CALGARY TRAIL SW,FAC
15000,BLACK,> 95 L/s,1992,53.62018,-113.42845,POINT (-113.428444 53.620182),EPCOR,15919 58 STREET NW,FAC
3549,BLUE,> 95 L/s,1997,53.58598,-113.47168,POINT (-113.47168 53.585983),EPCOR,8505 128 AVENUE NW,FAC
15530,BLUE,> 95 L/s,1996,53.61929,-113.46877,POINT (-113.46877 53.61929),EPCOR,8327 159 AVENUE NW,FAC
17036,BLUE,> 95 L/s,2002,53.46980,-113.37667,POINT (-113.37666 53.469803),EPCOR,3528 22 STREET NW,FAC
2325,BLUE,> 95 L/s,2007,53.53623,-113.57643,POINT (-113.57642 53.536232),EPCOR,9808 148 STREET NW,FAC
1568,GREEN,60-95 L/s,1987,53.56986,-113.53239,POINT (-113.53239 53.56986),EPCOR,11745 122 STREET NW,FAC
12188,BLUE,> 95 L/s,1982,53.49547,-113.42411,POINT (-113.42411 53.49547),EPCOR,5710 ROPER ROAD NW,FAC
12376,BLACK,> 95 L/s,1982,53.58206,-113.57823,POINT (-113.57823 53.582058),EPCOR,14904 YELLOWHEAD TRAIL NW,FAC
14267,BLACK,> 95 L/s,2012,53.46792,-113.59171,POINT (-113.59171 53.467922),EPCOR,616 FOREST LANE NW,FAC
1544,GREEN,60-95 L/s,1956,53.53936,-113.44943,POINT (-113.449425 53.53936),EPCOR,9864 79 STREET NW,FAC
2866,BLACK,> 95 L/s,1956,53.54792,-113.42820,POINT (-113.4282 53.547924),EPCOR,10433 62 STREET NW,FAC
2877,GREEN,60-95 L/s,1956,53.54608,-113.42041,POINT (-113.42041 53.546078),EPCOR,10332 52 STREET NW,FAC
9256,BLUE,> 95 L/s,1977,53.60719,-113.39128,POINT (-113.39128 53.60719),EPCOR,14310 32 STREET NW,FAC
5476,BLUE,> 95 L/s,1965,53.47856,-113.54768,POINT (-113.54768 53.47856),EPCOR,4203 123 STREET NW,FAC
3734,BLACK,> 95 L/s,1959,53.53760,-113.42206,POINT (-113.42206 53.537605),EPCOR,5408 97A AVENUE NW,FAC
4905,BLUE,> 95 L/s,1986,53.53936,-113.59750,POINT (-113.5975 53.539356),EPCOR,10002 160 STREET NW,FAC
20476,BLUE,> 95 L/s,2010,53.43223,-113.61431,POINT (-113.6143 53.43223),EPCOR,546 ADAMS WAY SW,FAC
5326,BLUE,> 95 L/s,1994,53.55558,-113.60240,POINT (-113.6024 53.555576),EPCOR,10951 164 STREET NW,FAC
16906,BLACK,> 95 L/s,2002,53.42207,-113.46982,POINT (-113.469826 53.42207),EPCOR,438 SPARLING COURT SW,FAC
28005,BLUE,> 95 L/s,2022,53.49444,-113.50051,POINT (-113.50051 53.494446),EPCOR,10520 56 AVENUE NW,INSERVICE
11539,BLUE,> 95 L/s,1980,53.54781,-113.61481,POINT (-113.61481 53.547813),EPCOR,10421 170 STREET NW,FAC
20964,BLUE,> 95 L/s,2012,53.41174,-113.45743,POINT (-113.45743 53.411743),EPCOR,2243 78 STREET SW,FAC
18585,BLUE,> 95 L/s,2005,53.61793,-113.40467,POINT (-113.40467 53.61793),EPCOR,4205 156A AVENUE NW,FAC
4079,BLUE,> 95 L/s,1990,53.58820,-113.45484,POINT (-113.454834 53.588196),EPCOR,7315 129A AVENUE NW,FAC
11381,BLUE,> 95 L/s,1980,53.61454,-113.47306,POINT (-113.47305 53.61454),EPCOR,8512 152B AVENUE NW,FAC
17569,BLACK,> 95 L/s,2002,53.51028,-113.66776,POINT (-113.667755 53.510284),EPCOR,1907 GARNETT WAY NW,FAC
984,BLUE,> 95 L/s,1984,53.52892,-113.46770,POINT (-113.4677 53.528915),EPCOR,9259 92 STREET NW,FAC
4805,BLUE,> 95 L/s,1964,53.47504,-113.54621,POINT (-113.54621 53.47504),EPCOR,12312 39A AVENUE NW,FAC
6986,BLUE,> 95 L/s,2015,53.48148,-113.46310,POINT (-113.463104 53.481483),EPCOR,4320 88 STREET NW,FAC
5342,BLUE,> 95 L/s,1986,53.55740,-113.58893,POINT (-113.588936 53.557404),EPCOR,11046 155 STREET NW,FAC
19375,BLUE,> 95 L/s,2007,53.46898,-113.35665,POINT (-113.35665 53.46898),EPCOR,1128 35 AVENUE NW,FAC
